path_in_rawtiffs,old_row_filename,location,date,new_row_filename,reason
web.archive.org_web_20251223180347_aeronav.faa.gov_visual_11-27-2025_PDFs_Cincinnati.tif,web.archive.org_web_20251223180347_aeronav.faa.gov_visual_11-27-2025_PDFs_Cincinnati.tif,Cincinnati,2025-11-27,acasis_sec_11-27-2025_Cincinnati.zip,superseded by FAA original
web.archive.org_web_20251223180407_aeronav.faa.gov_visual_11-27-2025_PDFs_Kodiak.tif,web.archive.org_web_20251223180407_aeronav.faa.gov_visual_11-27-2025_PDFs_Kodiak.tif,Kodiak,2025-11-27,acasis_sec_11-27-2025_Kodiak.zip,superseded by FAA original
web.archive.org_web_20251223180806_aeronav.faa.gov_visual_11-27-2025_PDFs_Point_Barrow.tif,web.archive.org_web_20251223180806_aeronav.faa.gov_visual_11-27-2025_PDFs_Point_Barrow.tif,Point Barrow,2025-11-27,acasis_sec_11-27-2025_Point_Barrow.zip,superseded by FAA original
web.archive.org_web_20251223181341_aeronav.faa.gov_visual_11-27-2025_PDFs_Dallas-Ft_Worth.tif,web.archive.org_web_20251223181341_aeronav.faa.gov_visual_11-27-2025_PDFs_Dallas-Ft_Worth.tif,Dallas-Ft Worth,2025-11-27,acasis_sec_11-27-2025_Dallas-Ft_Worth.zip,superseded by FAA original
web.archive.org_web_20251223181934_aeronav.faa.gov_visual_11-27-2025_PDFs_Brownsville.tif,web.archive.org_web_20251223181934_aeronav.faa.gov_visual_11-27-2025_PDFs_Brownsville.tif,Brownsville,2025-11-27,acasis_sec_11-27-2025_Brownsville.zip,superseded by FAA original
web.archive.org_web_20251223182013_aeronav.faa.gov_visual_11-27-2025_PDFs_Green_Bay.tif,web.archive.org_web_20251223182013_aeronav.faa.gov_visual_11-27-2025_PDFs_Green_Bay.tif,Green Bay,2025-11-27,acasis_sec_11-27-2025_Green_Bay.zip,superseded by FAA original
web.archive.org_web_20251223182804_aeronav.faa.gov_visual_11-27-2025_PDFs_Seattle.tif,web.archive.org_web_20251223182804_aeronav.faa.gov_visual_11-27-2025_PDFs_Seattle.tif,Seattle,2025-11-27,acasis_sec_11-27-2025_Seattle.zip,superseded by FAA original
web.archive.org_web_20251223183309_aeronav.faa.gov_visual_11-27-2025_PDFs_Cape_Lisburne.tif,web.archive.org_web_20251223183309_aeronav.faa.gov_visual_11-27-2025_PDFs_Cape_Lisburne.tif,Cape Lisburne,2025-11-27,acasis_sec_11-27-2025_Cape_Lisburne.zip,superseded by FAA original
web.archive.org_web_20251223183313_aeronav.faa.gov_visual_11-27-2025_PDFs_Memphis.tif,web.archive.org_web_20251223183313_aeronav.faa.gov_visual_11-27-2025_PDFs_Memphis.tif,Memphis,2025-11-27,acasis_sec_11-27-2025_Memphis.zip,superseded by FAA original
web.archive.org_web_20251223183458_aeronav.faa.gov_visual_11-27-2025_PDFs_New_Orleans.tif,web.archive.org_web_20251223183458_aeronav.faa.gov_visual_11-27-2025_PDFs_New_Orleans.tif,New Orleans,2025-11-27,acasis_sec_11-27-2025_New_Orleans.zip,superseded by FAA original
