filename,location,date,field,old,new,how
ca000161r.tif,"Aroostook, ME",1960-05-02,end_date,,1961-04-17,"date + typical period (loc median +-6y (n=5), typ 350d); was missing"
ca000228.tif,"Austin, TX",1940-08-01,end_date,,1941-04-01,"date + typical period (loc median +-6y (n=10), typ 243d); was missing"
ca000227.tif,"Austin, TX",1942-06-18,end_date,,1943-01-26,"date + typical period (loc median +-6y (n=10), typ 222d); was missing"
ca000194r.tif,"Austin, TX",1961-03-06,end_date,,1961-09-01,"date + typical period (loc median +-6y (n=16), typ 179d); was missing"
ca000279.tif,"Beaumont, TX",1939-05-01,end_date,,1940-01-01,"date + typical period (loc median +-6y (n=8), typ 245d); was missing"
ca000277.tif,"Beaumont, TX",1942-05-28,end_date,,1942-12-13,"date + typical period (loc median +-6y (n=12), typ 199d); was missing"
ca000243r.tif,"Beaumont, TX",1961-02-24,end_date,,1961-08-30,"date + typical period (loc median +-6y (n=14), typ 187d); was missing"
ca000244.tif,"Beaumont, TX",1965-06-01,end_date,,1965-09-16,"snapped to next edition start (loc median +-6y (n=9), typ 189d); was missing"
ca000321.tif,"Bellingham, WA",1945-04-12,end_date,,1945-10-16,copied from same-date twin
ca000316.tif,"Bellingham, WA",1947-10-20,end_date,,1948-04-21,"date + typical period (loc median +-6y (n=18), typ 184d); was missing"
ca000296r.tif,"Bellingham, WA",1960-10-25,end_date,,1961-05-02,"date + typical period (loc median +-6y (n=12), typ 189d); was missing"
ca000375.tif,"Birmingham, AL",1940-04-01,end_date,,1940-10-21,"date + typical period (loc median +-6y (n=14), typ 203d); was missing"
ca000341r.tif,"Birmingham, AL",1961-02-20,end_date,,1961-08-29,"date + typical period (loc median +-6y (n=14), typ 190d); was missing"
ca000417.tif,"Boise, ID",1939-01-01,end_date,,1939-08-25,"date + typical period (loc median +-6y (n=3), typ 236d); was missing"
ca000416.tif,"Boise, ID",1940-09-01,end_date,,1941-05-04,"date + typical period (loc median +-6y (n=5), typ 245d); was missing"
ca000393r.tif,"Boise, ID",1960-03-30,end_date,,1961-03-29,"date + typical period (loc median +-6y (n=6), typ 364d); was missing"
ca000388r.tif,"Boise, ID",1969-05-29,end_date,,1970-05-28,"date + typical period (loc median +-6y (n=4), typ 364d); was missing"
ca000475.tif,"Boston, MA",1936-01-01,end_date,1936-01-01,1936-09-01,copied from same-date twin
ca000432r.tif,"Boston, MA",1960-11-18,end_date,,1961-05-17,"date + typical period (loc median +-6y (n=15), typ 180d); was missing"
ca000433.tif,"Boston, MA",1965-06-01,end_date,,1965-09-16,"snapped to next edition start (loc median +-6y (n=13), typ 180d); was missing"
ca000420r.tif,"Boston, MA",1970-03-05,end_date,1970-03-05,1970-09-17,copied from same-date twin
ca000521.tif,"Burlington, VT",1939-06-01,end_date,,1940-01-16,"date + typical period (loc median +-6y (n=8), typ 229d); was missing"
ca000519.tif,"Burlington, VT",1942-01-01,end_date,,1942-08-03,"date + typical period (loc median +-6y (n=13), typ 214d); was missing"
ca000565.tif,"Butte, MT",1939-05-01,end_date,,1940-04-01,"snapped to next edition start (loc median +-6y (n=6), typ 315d); was missing"
ca000538r.tif,"Butte, MT",1960-10-28,end_date,,1961-10-05,"date + typical period (loc median +-6y (n=9), typ 342d); was missing"
ca000615.tif,"Casper, WY",1937-02-01,end_date,,1937-12-13,"date + typical period (loc median +-6y (n=4), typ 315d); was missing"
ca000607.tif,"Casper, WY",1945-02-15,end_date,1945-02-15,1946-05-20,copied from same-date twin
ca000579r.tif,"Casper, WY",1960-11-01,end_date,,1961-05-10,"date + typical period (loc median +-6y (n=14), typ 190d); was missing"
ca000660.tif,"Charlotte, NC",1939-01-01,end_date,,1939-08-10,"date + typical period (loc median +-6y (n=10), typ 221d); was missing"
ca000656.tif,"Charlotte, NC",1942-08-27,end_date,,1943-02-27,"date + typical period (loc median +-6y (n=15), typ 184d); was missing"
ca000652.tif,"Charlotte, NC",1945-10-02,end_date,1945-10-02,1946-04-02,copied from same-date twin
ca000624r.tif,"Charlotte, NC",1961-01-18,end_date,,1961-07-20,"date + typical period (loc median +-6y (n=15), typ 183d); was missing"
ca000617r.tif,"Charlotte, NC",1968-10-17,end_date,,1969-04-20,"date + typical period (loc median +-6y (n=6), typ 185d); was missing"
