source,file,action
oneoffs-juneau,catalog.archives.gov_medialz_cartographic_rg-370_305976_Batch19_305976_015_001.jpg,ADD Juneau 2001-04-19->2002-04-18 ed 41
oneoffs-juneau,catalog.archives.gov_medialz_cartographic_rg-370_305976_Batch19_305976_014_001.jpg,ADD Juneau 2002-04-18->2003-04-17 ed 42
oneoffs-juneau,catalog.archives.gov_medialz_cartographic_rg-370_305976_Batch19_305976_013_001.jpg,ADD Juneau 2003-04-17->2004-04-15 ed 43
oneoffs-juneau,catalog.archives.gov_medialz_cartographic_rg-370_305976_Batch19_305976_009_001.jpg,ADD Juneau 2004-04-15->2005-04-14 ed 44
oneoffs-juneau,catalog.archives.gov_medialz_cartographic_rg-370_305976_Batch19_305976_008_001.jpg,ADD Juneau 2005-04-14->2006-04-13 ed 45
oneoffs-juneau,catalog.archives.gov_medialz_cartographic_rg-370_305976_Batch19_305976_007_001.jpg,ADD Juneau 2006-04-13->2007-04-12 ed 46
oneoffs-juneau,catalog.archives.gov_medialz_cartographic_rg-370_305976_Batch19_305976_006_001.jpg,ADD Juneau 2007-04-12->2008-04-10 ed 47
oneoffs-juneau,catalog.archives.gov_medialz_cartographic_rg-370_305976_Batch19_305976_005_001.jpg,ADD Juneau 2008-04-10->2009-04-09 ed 48
oneoffs-juneau,catalog.archives.gov_medialz_cartographic_rg-370_305976_Batch19_305976_004_001.jpg,ADD Juneau 2009-04-09->2010-04-08 ed 49
oneoffs-juneau,catalog.archives.gov_medialz_cartographic_rg-370_305976_Batch19_305976_003_001.jpg,ADD Juneau 2010-04-08->2011-04-07 ed 50
oneoffs-juneau,catalog.archives.gov_medialz_cartographic_rg-370_305976_Batch19_305976_002_001.jpg,ADD Juneau 2011-04-07->2012-04-05 ed 51
oneoffs-juneau,catalog.archives.gov_medialz_cartographic_rg-370_305976_Batch19_305976_001_001.jpg,ADD Juneau 2012-04-05->2013-04-04 ed 52
oneoffs-juneau,catalog.archives.gov_medialz_cartographic_rg-370_305976_Batch19_305976_023_001.jpg,ADD Juneau 2013-04-04->2014-04-03 ed 53
oneoffs-juneau,catalog.archives.gov_medialz_cartographic_rg-370_305976_Batch19_305976_012_001.jpg,ADD Juneau 2014-04-03->2015-04-02 ed 54
oneoffs-juneau,catalog.archives.gov_medialz_cartographic_rg-370_305976_Batch19_305976_011_001.jpg,ADD Juneau 2015-04-02->2016-03-31 ed 55
oneoffs-juneau,catalog.archives.gov_medialz_cartographic_rg-370_305976_Batch19_305976_010_001.jpg,ADD Juneau 2016-03-31->2017-03-30 ed 56
oneoffs,web.archive.org_web_20190829143646_http_aviationtoolbox.org_raw_data_FAA_sectionals_20031030_Chicago_67_North.tif,ADD Chicago 2003-10-30->2004-05-13 ed 67
oneoffs,web.archive.org_web_20190829144306_http_aviationtoolbox.org_raw_data_FAA_sectionals_20050512_Chicago_70_North.tif,ADD Chicago 2005-05-12->2005-10-27 ed 70
oneoffs,web.archive.org_web_20190829174955_http_aviationtoolbox.org_raw_data_FAA_sectionals_20050512_Chicago_70_South.tif,ADD Chicago 2005-05-12->2005-10-27 ed 70
oneoffs,historicalcharts.noaa.gov_includes_downloadsingle.php_filename_00-11-1970_fileExt_.jpg,ADD Anchorage 1970-11-01->1971-05-02 ed Unknown
oneoffs,historicalcharts.noaa.gov_includes_downloadsingle.php_filename_00-A-11-1970_fileExt_.jpg,ADD Anchorage 1970-11-01->1971-05-02 ed Unknown
oneoffs,web.archive.org_web_20111021215839_http_www.faa.gov_air%5Ftraffic_flight%5Finfo_aeronav_productcatalog_digitalproducts_Raster_sample.tif,ADD Seattle 2001-12-27->2002-06-27 ed 1
oneoffs,www.esriuk.com_content_dam_esrisites_en-us_media_products_aero-solutions_sanfran-sec.pdf,ADD San Francisco 2008-01-23->2008-07-23 ed Unknown
oneoffs,web.archive.org_web_20070106044153id__http_www.glideplan.com_80_download_Experimental_Mt_Shasta_Area.jpg.zip,"ADD Mt. Shasta, CA 2006-11-06->2007-05-07 ed Unknown"
oneoffs,web.archive.org_web_20070106044232id__http_www.glideplan.com_80_download_Experimental_Reno_Whites.jpg.zip,"ADD Reno, NV 2006-10-07->2007-04-07 ed Unknown"
oneoffs,1966-san-francisco-sectional__1966_SanFranciscoSectional.pdf,"ADD San Francisco, CA 1966-01-06->1966-06-23 ed 58"
oneoffs,1978-san-francisco-sectional__1978_SanFranciscoSectional.pdf,"ADD San Francisco, CA 1978-11-02->1979-04-19 ed 21"
tier0,ca003021.tif,"ADD Portland, OR 1947-10-23->1948-04-26 ed Unknown"
tier0,ca003020.tif,"ADD Portland, OR 1948-04-26->1948-10-21 ed Unknown"
tier0,ca003019.tif,"ADD Portland, OR 1948-10-21->1949-03-29 ed Unknown"
tier0,ca003018.tif,"ADD Portland, OR 1949-03-29->1949-10-02 ed Unknown"
tier0,ca003008r.tif,"ADD Portland, OR 1954-03-23->1954-09-29 ed 32"
tier0,ca003009r.tif,FIX end_date 1954-09-29 -> 1954-03-23
tier0,ca002354.tif,"ADD Milwaukee, WI 1941-10-01->1942-06-30 ed Unknown"
tier0,Honolulu_Inset_SEC_95.tif,ADD Honolulu Inset 2016-10-13->2017-04-27 ed 95
tier0,Mariana_Islands_Inset_SEC_95.tif,ADD Mariana Islands Inset 2016-10-13->2017-04-27 ed 95
tier0,Samoan_Islands_Inset_SEC_95.tif,ADD Samoan Islands Inset 2016-10-13->2017-04-27 ed 95
tier0,US_SEC_CAPE LISBURNE EAST.jpg,ADD Cape Lisburne 2004-07-01->2005-06-30 ed Unknown
tier0,US_SEC_CAPE LISBURNE WEST.jpg,ADD Cape Lisburne 2004-07-01->2005-06-30 ed Unknown
tier0,US_SEC_DAWSON EAST.jpg,ADD Dawson 2004-07-01->2005-06-30 ed Unknown
tier0,US_SEC_DAWSON WEST.jpg,ADD Dawson 2004-07-01->2005-06-30 ed Unknown
tier0,US_SEC_FAIRBANKS EAST.jpg,ADD Fairbanks 2004-07-01->2005-06-30 ed Unknown
tier0,US_SEC_FAIRBANKS WEST.jpg,ADD Fairbanks 2004-07-01->2005-06-30 ed Unknown
tier0,US_SEC_HAWAIIAN ISLANDS.jpg,ADD Hawaiian Islands 2004-07-01->2005-06-30 ed Unknown
tier0,US_SEC_NOME EAST.jpg,ADD Nome 2004-07-01->2005-06-30 ed Unknown
tier0,US_SEC_NOME WEST.jpg,ADD Nome 2004-07-01->2005-06-30 ed Unknown
tier0,US_SEC_POINT BARROW EAST.jpg,ADD Point Barrow 2004-07-01->2005-06-30 ed Unknown
tier0,US_SEC_POINT BARROW WEST.jpg,ADD Point Barrow 2004-07-01->2005-06-30 ed Unknown
